Address, DevId
10.20.3.35, 701
10.20.3.144, 25603
2:0x0000000007d0, 2000
2:0x0000000007d1, 2001
2:0x0000000007d2, 2002
2:0x0000000007d3, 2003
2:0x0000000007d4, 2004
2:0x0000000007d5, 2005
2:0x0000000007d6, 2006
2:0x0000000007d7, 2007
2:0x0000000007d8, 2008
2:0x0000000007d9, 2009
2:0x0000000007da, 2010
2:0x0000000007db, 2011
2:0x0000000007dc, 2012
2:0x0000000007dd, 2013
2:0x0000000007de, 2014
2:0x0000000007df, 2015
2:0x0000000007e2, 2018
2:0x0000000007e3, 2019
2:0x0000000007e4, 2020
2:0x0000000007e5, 2021
2:0x0000000007e6, 2022
2:0x0000000007e7, 2023
2:0x0000000007e8, 2024
2:0x0000000007e9, 2025
2:0x0000000007ea, 2026
2:0x0000000007eb, 2027
10.20.0.192, 990010
2:0x0000000007ec, 2028
2:0x0000000007ed, 2029
2:0x0000000007ee, 2030
2:0x0000000007ef, 2031
10.20.0.47, 249947
2:0x0000000007f0, 2032
2:0x0000000007f1, 2033
2:0x0000000007f2, 2034
2:0x0000000007f3, 2035
2:0x0000000007f4, 2036
2:0x0000000007f5, 2037
2:0x0000000007f6, 2038
2:0x0000000007f7, 2039
2:0x0000000007f8, 2040
2:0x0000000007f9, 2041
2:0x0000000007fa, 2042
2:0x0000000007fb, 2043
10.20.3.140, 191100
2:0x0000000007fc, 2044
2:0x0000000007fd, 2045
2:0x0000000007fe, 2046
2:0x0000000007ff, 2047
2:0x000000000800, 2048
2:0x000000000801, 2049
252:20.197.196.3, 191102
2:0x000000000802, 2050
2:0x000000000803, 2051
252:20.197.196.4, 191104
2:0x000000000804, 2052
252:20.197.196.5, 191105
2:0x000000000805, 2053
252:20.197.196.6, 191106
2:0x000000000806, 2054
252:20.197.196.7, 191107
2:0x000000000807, 2055
252:20.197.196.8, 191108
2:0x000000000808, 2056
252:20.197.196.9, 191109
2:0x000000000809, 2057
252:20.197.196.10, 191116
2:0x00000000080a, 2058
252:20.197.196.11, 191117
2:0x00000000080b, 2059
252:20.197.196.12, 191118
2:0x00000000080c, 2060
2:0x00000000080d, 2061
252:20.197.196.14, 191103
2:0x00000000080e, 2062
252:20.197.196.19, 191101
2:0x00000000080f, 2063
2:0x000000000810, 2064
2:0x000000000811, 2065
2:0x000000000812, 2066
2:0x000000000813, 2067
2:0x000000000814, 2068
2:0x000000000815, 2069
2:0x000000000816, 2070
2:0x000000000817, 2071
2:0x000000000818, 2072
2:0x000000000819, 2073
2:0x00000000081a, 2074
2:0x00000000081b, 2075
2:0x00000000081c, 2076
2:0x00000000081d, 2077
2:0x00000000081e, 2078
2:0x00000000081f, 2079
2:0x000000000820, 2080
2:0x000000000821, 2081
2:0x000000000822, 2082
2:0x000000000823, 2083
2:0x000000000824, 2084
2:0x000000000825, 2085
2:0x000000000826, 2086
2:0x000000000827, 2087
2:0x000000000828, 2088
2:0x000000000829, 2089
2:0x00000000082a, 2090
2:0x00000000082b, 2091
2:0x00000000082c, 2092
2:0x00000000082d, 2093
2:0x00000000082e, 2094
2:0x00000000082f, 2095
2:0x000000000830, 2096
2:0x000000000831, 2097
2:0x000000000832, 2098
2:0x000000000833, 2099
2:0x000000000834, 2100
2:0x000000000835, 2101
2:0x000000000836, 2102
2:0x000000000837, 2103
2:0x000000000838, 2104
2:0x000000000839, 2105
2:0x00000000083a, 2106
2:0x00000000083b, 2107
2:0x00000000083c, 2108
2:0x00000000083d, 2109
2:0x00000000083e, 2110
2:0x00000000083f, 2111
2:0x000000000840, 2112
2:0x000000000841, 2113
10.20.3.74, 206300
2:0x000000000842, 2114
60996:0x44eedd250300, 206301
2:0x000000000843, 2115
60996:0x44eede250300, 206302
2:0x000000000844, 2116
60996:0x44eedf250300, 206303
2:0x000000000845, 2117
60996:0x44eee0250300, 206304
2:0x000000000846, 2118
63457:207.1.33.4, 207004
2:0x000000000847, 2119
60996:0x44eee1250300, 206305
2:0x000000000848, 2120
60996:0x44eee8250300, 206312
2:0x000000000849, 2121
60996:0x44eee9250300, 206313
2:0x00000000084a, 2122
60996:0x44eeea250300, 206314
2:0x00000000084b, 2123
60996:0x44eeeb250300, 206315
2:0x00000000084c, 2124
60996:0x44eeec250300, 206316
2:0x00000000084d, 2125
60996:0x44eeed250300, 206317
2:0x00000000084e, 2126
60996:0x44eeee250300, 206318
2:0x00000000084f, 2127
60996:0x44eeef250300, 206319
2:0x000000000850, 2128
60996:0x44eef0250300, 206320
2:0x000000000851, 2129
60996:0x44eef1250300, 206321
2:0x000000000852, 2130
60996:0x44eef2250300, 206322
2:0x000000000853, 2131
60996:0x44eef3250300, 206323
2:0x000000000854, 2132
60996:0x44eef4250300, 206324
2:0x000000000855, 2133
60996:0x44eef5250300, 206325
2:0x000000000856, 2134
60996:0x44eef6250300, 206326
2:0x000000000857, 2135
60996:0x44eef7250300, 206327
2:0x000000000858, 2136
60996:0x44eef8250300, 206328
2:0x000000000859, 2137
60996:0x44eef9250300, 206329
2:0x00000000085a, 2138
63457:207.1.46.5, 207005
2:0x00000000085b, 2139
63457:207.1.27.250, 207250
2:0x00000000085c, 2140
60996:0x44eefa250300, 206330
2:0x00000000085d, 2141
60996:0x44eefb250300, 206331
2:0x00000000085e, 2142
60996:0x44eefc250300, 206332
2:0x00000000085f, 2143
60996:0x44eefd250300, 206333
2:0x000000000860, 2144
60996:0x44eefe250300, 206334
2:0x000000000861, 2145
60996:0x44eeff250300, 206335
2:0x000000000862, 2146
60996:0x44ee00260300, 206336
2:0x000000000863, 2147
60996:0x44ee01260300, 206337
2:0x000000000864, 2148
60996:0x44ee02260300, 206338
2:0x000000000865, 2149
60996:0x44ee03260300, 206339
2:0x000000000866, 2150
60996:0x44ee04260300, 206340
2:0x00000000086b, 2155
2:0x00000000086c, 2156
2:0x00000000086d, 2157
2:0x00000000086e, 2158
2:0x00000000086f, 2159
2:0x000000000870, 2160
2:0x000000000bb8, 3000
2:0x000000000bb9, 3001
2:0x000000000bba, 3002
2:0x000000000bbb, 3003
2:0x000000000bbc, 3004
2:0x000000000bbd, 3005
2:0x000000000bbe, 3006
2:0x000000000bbf, 3007
2:0x000000000bc0, 3008
2:0x000000000bc2, 3010
2:0x000000000bc3, 3011
2:0x000000000bc4, 3012
2:0x000000000bc5, 3013
2:0x000000000bc6, 3014
2:0x000000000bc7, 3015
2:0x000000000bc8, 3016
2:0x000000000bc9, 3017
2:0x000000000bca, 3018
2:0x000000000bcb, 3019
2:0x000000000bcc, 3020
2:0x000000000bcd, 3021
2:0x000000000bce, 3022
2:0x000000000bcf, 3023
2:0x000000000bd0, 3024
2:0x000000000bd1, 3025
2:0x000000000bd2, 3026
2:0x000000000bd3, 3027
2:0x000000000bd4, 3028
2:0x000000000bd5, 3029
2:0x000000000bd6, 3030
10.20.0.158, 252200
2:0x000000000bd7, 3031
25298:0xd262f6d80300, 252150
2:0x000000000bd8, 3032
25298:0xd262f7d80300, 252151
2:0x000000000bd9, 3033
25298:0xd262f8d80300, 252152
2:0x000000000bda, 3034
25298:0xd262f9d80300, 252153
2:0x000000000bdb, 3035
25298:0xd262fad80300, 252154
2:0x000000000bdc, 3036
25298:0xd26229d90300, 252201
2:0x000000000bdd, 3037
25298:0xd2622ad90300, 252202
2:0x000000000bde, 3038
25298:0xd2622bd90300, 252203
2:0x000000000bdf, 3039
25298:0xd2622cd90300, 252204
2:0x000000000be0, 3040
25298:0xd2622dd90300, 252205
2:0x000000000be1, 3041
25298:0xd2622ed90300, 252206
2:0x000000000be2, 3042
25298:0xd2622fd90300, 252207
2:0x000000000be3, 3043
25298:0xd26230d90300, 252208
2:0x000000000be4, 3044
25298:0xd26231d90300, 252209
2:0x000000000be5, 3045
25298:0xd26232d90300, 252210
2:0x000000000be6, 3046
25298:0xd26233d90300, 252211
2:0x000000000be7, 3047
25298:0xd26234d90300, 252212
2:0x000000000be8, 3048
25298:0xd26235d90300, 252213
2:0x000000000be9, 3049
25298:0xd26236d90300, 252214
2:0x000000000bea, 3050
25298:0xd26237d90300, 252215
2:0x000000000beb, 3051
25298:0xd26238d90300, 252216
2:0x000000000bec, 3052
25298:0xd26239d90300, 252217
2:0x000000000bed, 3053
25298:0xd2623ad90300, 252218
2:0x000000000bee, 3054
25298:0xd2623bd90300, 252219
2:0x000000000bef, 3055
25298:0xd2623cd90300, 252220
2:0x000000000bf0, 3056
25298:0xd2623dd90300, 252221
2:0x000000000bf1, 3057
25298:0xd2623ed90300, 252222
2:0x000000000bf2, 3058
25298:0xd2623fd90300, 252223
2:0x000000000bf3, 3059
15941:0x453e62260300, 206434
2:0x000000000bf4, 3060
15941:0x453e63260300, 206435
2:0x000000000bf5, 3061
25298:0xd26240d90300, 252224
2:0x000000000bf6, 3062
25298:0xd26241d90300, 252225
2:0x000000000bf7, 3063
6981:0x451bb1ee2400, 2420401
2:0x000000000bf8, 3064
6981:0x451bb2ee2400, 2420402
2:0x000000000bf9, 3065
25298:0xd26242d90300, 252226
2:0x000000000bfa, 3066
25298:0xd26243d90300, 252227
2:0x000000000bfb, 3067
14661:0x45398b250300, 206219
2:0x000000000bfc, 3068
14661:0x45398c250300, 206220
2:0x000000000bfd, 3069
25298:0xd26244d90300, 252228
2:0x000000000bfe, 3070
25298:0xd26245d90300, 252229
2:0x000000000bff, 3071
10.20.0.154, 254100
2:0x000000000c00, 3072
25298:0xd26246d90300, 252230
2:0x000000000c01, 3073
6213:0x451895e00300, 254101
2:0x000000000c02, 3074
25299:0xd36244d90300, 252228
2:0x000000000c06, 3078
25299:0xd36245d90300, 252229
2:0x000000000c07, 3079
25298:0xd26247d90300, 252231
2:0x000000000c08, 3080
25299:0xd36246d90300, 252230
2:0x000000000c09, 3081
25298:0xd26248d90300, 252232
2:0x000000000c0a, 3082
25299:0xd36247d90300, 252231
2:0x000000000c0b, 3083
25298:0xd26249d90300, 252233
2:0x000000000c0c, 3084
25299:0xd36248d90300, 252232
2:0x000000000c0d, 3085
25298:0xd2624ad90300, 252234
2:0x000000000c0e, 3086
25299:0xd36249d90300, 252233
2:0x000000000c0f, 3087
25298:0xd2624bd90300, 252235
2:0x000000000c10, 3088
25299:0xd3624ad90300, 252234
2:0x000000000c11, 3089
25298:0xd2624cd90300, 252236
2:0x000000000c12, 3090
25299:0xd3624bd90300, 252235
2:0x000000000c13, 3091
25298:0xd2624dd90300, 252237
2:0x000000000c14, 3092
25299:0xd3624cd90300, 252236
2:0x000000000c15, 3093
25298:0xd2624ed90300, 252238
2:0x000000000c16, 3094
25299:0xd3624dd90300, 252237
2:0x000000000c17, 3095
25299:0xd3624ed90300, 252238
2:0x000000000c18, 3096
25298:0xd2624fd90300, 252239
2:0x000000000c19, 3097
25299:0xd3624fd90300, 252239
2:0x000000000c1a, 3098
25299:0xd36250d90300, 252240
2:0x000000000c1b, 3099
25298:0xd26250d90300, 252240
2:0x000000000c1c, 3100
25298:0xd2621cdb0300, 252700
2:0x000000000c1d, 3101
25298:0xd2621ddb0300, 252701
2:0x000000000c1e, 3102
25298:0xd2621edb0300, 252702
2:0x000000000c1f, 3103
25298:0xd2621fdb0300, 252703
2:0x000000000c20, 3104
25298:0xd26220db0300, 252704
2:0x000000000c21, 3105
25298:0xd262b8da0300, 252600
2:0x000000000c22, 3106
25298:0xd262b9da0300, 252601
2:0x000000000c23, 3107
25298:0xd262bada0300, 252602
2:0x000000000c24, 3108
25298:0xd262bbda0300, 252603
2:0x000000000c25, 3109
25298:0xd262bcda0300, 252604
2:0x000000000c26, 3110
25298:0xd262bdda0300, 252605
2:0x000000000c27, 3111
25298:0xd262beda0300, 252606
2:0x000000000c28, 3112
25298:0xd262bfda0300, 252607
2:0x000000000c29, 3113
25298:0xd262c0da0300, 252608
2:0x000000000c2a, 3114
25298:0xd262c1da0300, 252609
2:0x000000000c2b, 3115
25298:0xd262c2da0300, 252610
2:0x000000000c2c, 3116
25298:0xd262c3da0300, 252611
2:0x000000000c2d, 3117
25298:0xd262c4da0300, 252612
2:0x000000000c2e, 3118
25298:0xd262c5da0300, 252613
2:0x000000000c2f, 3119
25298:0xd262c6da0300, 252614
2:0x000000000c30, 3120
25298:0xd262c7da0300, 252615
2:0x000000000c31, 3121
25298:0xd262c8da0300, 252616
2:0x000000000c32, 3122
25298:0xd262c9da0300, 252617
2:0x000000000c33, 3123
25298:0xd262cada0300, 252618
2:0x000000000c34, 3124
25298:0xd262cbda0300, 252619
2:0x000000000c35, 3125
25298:0xd262ccda0300, 252620
2:0x000000000c36, 3126
25298:0xd262cdda0300, 252621
2:0x000000000c37, 3127
25298:0xd262ceda0300, 252622
2:0x000000000c38, 3128
25298:0xd262cfda0300, 252623
2:0x000000000c39, 3129
25298:0xd262d0da0300, 252624
2:0x000000000c3a, 3130
25298:0xd262d1da0300, 252625
2:0x000000000c3b, 3131
25298:0xd262d2da0300, 252626
2:0x000000000c3c, 3132
25298:0xd262d3da0300, 252627
2:0x000000000c3d, 3133
25298:0xd262d4da0300, 252628
2:0x000000000c3e, 3134
25298:0xd262f0d90300, 252400
2:0x000000000c3f, 3135
25298:0xd262f1d90300, 252401
2:0x000000000c40, 3136
25298:0xd262f2d90300, 252402
2:0x000000000c41, 3137
25298:0xd262f3d90300, 252403
25298:0xd262f4d90300, 252404
2:0x000000000c42, 3138
25298:0xd262f5d90300, 252405
2:0x000000000c43, 3139
25298:0xd262f6d90300, 252406
2:0x000000000c44, 3140
25298:0xd262f7d90300, 252407
2:0x000000000c45, 3141
25298:0xd262f8d90300, 252408
2:0x000000000c46, 3142
25298:0xd262f9d90300, 252409
2:0x000000000c47, 3143
10.20.0.157, 252800
2:0x000000000c48, 3144
25298:0xd262fad90300, 252410
2:0x000000000c49, 3145
25298:0xd262fbd90300, 252411
2:0x000000000c4a, 3146
25299:0xd362dc250300, 206300
2:0x000000000c4b, 3147
25298:0xd262fcd90300, 252412
2:0x000000000c4c, 3148
25299:0xd362dd250300, 206301
2:0x000000000c4d, 3149
25298:0xd262fdd90300, 252413
2:0x000000000c4e, 3150
25299:0xd362de250300, 206302
25299:0xd362df250300, 206303
2:0x000000000c51, 3153
25299:0xd362e0250300, 206304
2:0x000000000c52, 3154
25299:0xd362e1250300, 206305
2:0x00000000004e, 78
25299:0xd362e8250300, 206312
2:0x000000000029, 41
25299:0xd362e9250300, 206313
2:0x00000000002a, 42
25299:0xd362ea250300, 206314
2:0x00000000002b, 43
25299:0xd362eb250300, 206315
2:0x00000000002c, 44
25299:0xd362ec250300, 206316
2:0x00000000002d, 45
25299:0xd362ed250300, 206317
2:0x00000000002e, 46
25299:0xd362ee250300, 206318
2:0x00000000002f, 47
25299:0xd362ef250300, 206319
2:0x000000000030, 48
25299:0xd362f0250300, 206320
2:0x000000000031, 49
25299:0xd362f1250300, 206321
2:0x000000000032, 50
25298:0xd262fed90300, 252414
2:0x000000000033, 51
25299:0xd362f2250300, 206322
2:0x000000000034, 52
25299:0xd362f3250300, 206323
2:0x000000000035, 53
25299:0xd362f4250300, 206324
2:0x000000000036, 54
25299:0xd362f5250300, 206325
2:0x000000000037, 55
25299:0xd362f6250300, 206326
2:0x000000000038, 56
25299:0xd362f7250300, 206327
2:0x000000000039, 57
25299:0xd362f8250300, 206328
2:0x00000000003a, 58
25299:0xd362f9250300, 206329
2:0x00000000003b, 59
25299:0xd362fa250300, 206330
2:0x00000000003c, 60
25299:0xd362fb250300, 206331
2:0x00000000003d, 61
25299:0xd362fc250300, 206332
2:0x00000000003e, 62
25299:0xd362fd250300, 206333
2:0x00000000003f, 63
25299:0xd362fe250300, 206334
2:0x000000000040, 64
25299:0xd362ff250300, 206335
2:0x000000000041, 65
25299:0xd36200260300, 206336
2:0x000000000042, 66
25299:0xd36201260300, 206337
2:0x000000000043, 67
25299:0xd36202260300, 206338
2:0x000000000044, 68
25299:0xd36203260300, 206339
2:0x000000000045, 69
25299:0xd36204260300, 206340
2:0x000000000046, 70
25299:0xd36294e00300, 254100
2:0x000000000047, 71
25299:0xd36295e00300, 254101
2:0x000000000048, 72
25299:0xd362b0ee2400, 2420400
2:0x000000000049, 73
25299:0xd362b1ee2400, 2420401
2:0x00000000004a, 74
25299:0xd362b2ee2400, 2420402
2:0x00000000004b, 75
25299:0xd362b0240300, 206000
2:0x00000000004c, 76
25299:0xd362b1240300, 206001
2:0x00000000004d, 77
25299:0xd362b2240300, 206002
2:0x0000000003e8, 1000
25299:0xd362b3240300, 206003
2:0x0000000003e9, 1001
25299:0xd362b4240300, 206004
2:0x0000000003ea, 1002
25299:0xd362b5240300, 206005
2:0x0000000003eb, 1003
25299:0xd362b6240300, 206006
2:0x0000000003ec, 1004
25299:0xd362b7240300, 206007
2:0x0000000003ed, 1005
25299:0xd362b8240300, 206008
2:0x0000000003ee, 1006
25299:0xd362b9240300, 206009
2:0x0000000003ef, 1007
25299:0xd36214250300, 206100
2:0x0000000003f0, 1008
25299:0xd36215250300, 206101
2:0x0000000003f1, 1009
25299:0xd36216250300, 206102
2:0x0000000003f2, 1010
25299:0xd36220250300, 206112
2:0x0000000003f3, 1011
25299:0xd36221250300, 206113
2:0x0000000003f4, 1012
25299:0xd36222250300, 206114
2:0x0000000003f5, 1013
25299:0xd36223250300, 206115
2:0x0000000003f6, 1014
25299:0xd36224250300, 206116
2:0x0000000003f7, 1015
25299:0xd36225250300, 206117
2:0x0000000003f8, 1016
25298:0xd262ffd90300, 252415
2:0x0000000003f9, 1017
25298:0xd26200da0300, 252416
2:0x0000000003fa, 1018
25298:0xd26201da0300, 252417
2:0x0000000003fb, 1019
25298:0xd26202da0300, 252418
2:0x0000000003fc, 1020
25298:0xd26203da0300, 252419
2:0x0000000003fd, 1021
25298:0xd26204da0300, 252420
2:0x0000000003fe, 1022
25298:0xd26206da0300, 252422
2:0x0000000003ff, 1023
25298:0xd26207da0300, 252423
2:0x000000000400, 1024
25298:0xd26208da0300, 252424
2:0x000000000401, 1025
25298:0xd26209da0300, 252425
2:0x000000000402, 1026
25298:0xd2620ada0300, 252426
2:0x000000000403, 1027
25298:0xd2620bda0300, 252427
2:0x000000000404, 1028
25298:0xd2620cda0300, 252428
2:0x000000000405, 1029
25298:0xd2620dda0300, 252429
2:0x000000000406, 1030
25298:0xd2628cd90300, 252300
2:0x000000000407, 1031
25299:0xd36226250300, 206118
2:0x000000000408, 1032
25299:0xd36227250300, 206119
2:0x000000000409, 1033
25299:0xd36228250300, 206120
2:0x00000000040a, 1034
2:0x00000000040b, 1035
25299:0xd36229250300, 206121
2:0x00000000040c, 1036
2:0x00000000040d, 1037
25299:0xd3622a250300, 206122
2:0x00000000040e, 1038
2:0x00000000040f, 1039
25299:0xd3622b250300, 206123
2:0x000000000410, 1040
2:0x000000000411, 1041
25299:0xd3622c250300, 206124
2:0x000000000412, 1042
2:0x000000000413, 1043
25299:0xd3622d250300, 206125
2:0x000000000414, 1044
2:0x000000000415, 1045
25299:0xd3622e250300, 206126
2:0x000000000416, 1046
2:0x000000000417, 1047
2:0x000000000418, 1048
25299:0xd3622f250300, 206127
2:0x000000000419, 1049
2:0x00000000041a, 1050
25299:0xd36230250300, 206128
2:0x00000000041b, 1051
2:0x00000000041c, 1052
25299:0xd36231250300, 206129
2:0x00000000041d, 1053
25299:0xd36232250300, 206130
2:0x00000000041e, 1054
2:0x00000000041f, 1055
25299:0xd36233250300, 206131
2:0x000000000420, 1056
2:0x000000000421, 1057
25299:0xd36234250300, 206132
2:0x000000000422, 1058
2:0x000000000423, 1059
2:0x000000000424, 1060
25299:0xd36235250300, 206133
2:0x000000000425, 1061
25299:0xd36236250300, 206134
2:0x000000000426, 1062
2:0x000000000427, 1063
25299:0xd36237250300, 206135
2:0x000000000428, 1064
2:0x000000000429, 1065
25299:0xd36238250300, 206136
2:0x00000000042a, 1066
2:0x00000000042b, 1067
25299:0xd36239250300, 206137
2:0x00000000042c, 1068
2:0x00000000042d, 1069
25299:0xd3623a250300, 206138
2:0x00000000042e, 1070
2:0x00000000042f, 1071
25299:0xd3623b250300, 206139
2:0x000000000430, 1072
2:0x000000000431, 1073
25299:0xd36281db0300, 252801
2:0x000000000432, 1074
2:0x000000000433, 1075
25299:0xd36282db0300, 252802
2:0x000000000434, 1076
2:0x000000000435, 1077
25299:0xd36283db0300, 252803
2:0x000000000436, 1078
25299:0xd36284db0300, 252804
2:0x000000000437, 1079
2:0x000000000438, 1080
25299:0xd36285db0300, 252805
2:0x000000000439, 1081
2:0x00000000043a, 1082
25299:0xd36286db0300, 252806
2:0x00000000043b, 1083
2:0x00000000043c, 1084
25299:0xd36287db0300, 252807
2:0x00000000043d, 1085
2:0x00000000043e, 1086
25299:0xd36288db0300, 252808
2:0x00000000043f, 1087
2:0x000000000440, 1088
25299:0xd36289db0300, 252809
2:0x000000000441, 1089
2:0x000000000442, 1090
25299:0xd3628adb0300, 252810
2:0x000000000443, 1091
2:0x000000000444, 1092
25299:0xd3628bdb0300, 252811
2:0x000000000445, 1093
2:0x000000000446, 1094
25299:0xd3628cdb0300, 252812
2:0x000000000447, 1095
2:0x000000000448, 1096
25299:0xd36295db0300, 252821
2:0x000000000449, 1097
2:0x00000000044a, 1098
25299:0xd36296db0300, 252822
2:0x00000000044b, 1099
2:0x00000000044c, 1100
25299:0xd36297db0300, 252823
2:0x00000000044d, 1101
2:0x00000000044e, 1102
25299:0xd36298db0300, 252824
2:0x00000000044f, 1103
2:0x000000000450, 1104
25299:0xd36299db0300, 252825
2:0x000000000451, 1105
2:0x000000000452, 1106
25299:0xd3629adb0300, 252826
2:0x000000000453, 1107
2:0x000000000454, 1108
25299:0xd3629bdb0300, 252827
2:0x000000000455, 1109
2:0x000000000456, 1110
25299:0xd3629cdb0300, 252828
2:0x000000000457, 1111
2:0x000000000458, 1112
25299:0xd3629ddb0300, 252829
2:0x000000000459, 1113
2:0x00000000045a, 1114
25299:0xd3629edb0300, 252830
2:0x00000000045b, 1115
2:0x00000000045c, 1116
25299:0xd3629fdb0300, 252831
2:0x00000000045d, 1117
2:0x00000000045e, 1118
25299:0xd362a0db0300, 252832
2:0x00000000045f, 1119
2:0x000000000460, 1120
25299:0xd36228d90300, 252200
2:0x000000000461, 1121
2:0x000000000462, 1122
25299:0xd36229d90300, 252201
2:0x000000000463, 1123
2:0x000000000464, 1124
25299:0xd3622ad90300, 252202
2:0x000000000465, 1125
2:0x000000000466, 1126
25299:0xd3622bd90300, 252203
2:0x000000000467, 1127
2:0x000000000468, 1128
25299:0xd3622cd90300, 252204
2:0x000000000469, 1129
2:0x00000000046a, 1130
25299:0xd3622dd90300, 252205
2:0x00000000046b, 1131
2:0x00000000046c, 1132
25299:0xd3622ed90300, 252206
2:0x00000000046d, 1133
2:0x00000000046e, 1134
25299:0xd3622fd90300, 252207
2:0x00000000046f, 1135
25299:0xd36230d90300, 252208
2:0x000000000470, 1136
2:0x000000000471, 1137
25299:0xd36231d90300, 252209
2:0x000000000472, 1138
2:0x000000000473, 1139
2:0x000000000474, 1140
25299:0xd36232d90300, 252210
2:0x000000000475, 1141
2:0x000000000476, 1142
25299:0xd36233d90300, 252211
2:0x000000000477, 1143
2:0x000000000478, 1144
25299:0xd36234d90300, 252212
2:0x000000000479, 1145
2:0x00000000047a, 1146
25299:0xd36235d90300, 252213
2:0x00000000047b, 1147
2:0x00000000047c, 1148
25299:0xd36236d90300, 252214
2:0x00000000047d, 1149
2:0x00000000047e, 1150
25299:0xd36237d90300, 252215
2:0x00000000047f, 1151
2:0x000000000483, 1155
25299:0xd36238d90300, 252216
2:0x000000000484, 1156
2:0x000000000485, 1157
25299:0xd36239d90300, 252217
2:0x000000000486, 1158
2:0x000000000487, 1159
25299:0xd3623ad90300, 252218
2:0x000000000488, 1160
2:0x000000000489, 1161
25299:0xd3623bd90300, 252219
2:0x00000000048a, 1162
